doi,language,method,method2,measurement,validation
10.1093/joc/jqy007,es,lnk,Rule-based,const,no validation attempt
10.1093/joc/jqy007,es,lnk,Rule-based,other,no validation attempt
10.1093/joc/jqy032,en,key,Rule-based,const,validation attempt: discussion
10.1093/joc/jqz023,en,sof,Rule-based,attri,validation attempt: discussion & demonstration
10.1093/joc/jqz023,en,sof,Rule-based,props,validation attempt: discussion & demonstration
10.1093/joc/jqz023,en,sof,Rule-based,pragm,validation attempt: discussion & demonstration
10.1093/joc/jqz033,en,sml,Supervised,const,validation attempt: discussion & demonstration
10.1093/joc/jqz033,en,sml,Supervised,props,validation attempt: discussion & demonstration
10.1093/jopart/muu052,kr,sna,Unsupervised,quali,no validation attempt
10.1093/jopart/muy033,en,man,Manual,quali,no validation attempt
10.1093/jopart/muy033,en,plg,Unsupervised,quali,no validation attempt
10.1093/jopart/muy045,en,lda,Unsupervised,theme,validation attempt: discussion & demonstration
10.1093/jopart/muy060,en,sml,Supervised,quali,validation attempt: discussion & demonstration
10.1093/pan/mpw017,en,dcs,Unsupervised,quali,validation attempt: discussion & demonstration
