_id,doi,language,method,method2,measurement,validation
1088,10.1080/1461670X.2018.1467783,nl,man,Manual,const,NA
1089,10.1080/1461670X.2018.1467783,nl,man,Manual,quali,NA
1090,10.1080/1461670X.2018.1467783,nl,man,Manual,pragm,NA
1091,10.1080/1461670X.2018.1492880,dk,man,Manual,thing,NA
1092,10.1080/1461670X.2018.1513814,cn,man,Manual,thing,NA
1093,10.1080/1461670X.2018.1513814,cn,man,Manual,const,NA
1094,10.1080/1461670X.2018.1513814,cn,man,Manual,attri,NA
1095,10.1080/1461670X.2018.1513817,en,man,Manual,const,NA
1096,10.1080/1461670X.2018.1513817,en,man,Manual,props,NA
1097,10.1080/1461670X.2018.1519637,en,man,Manual,thing,NA
1098,10.1080/1461670X.2018.1520609,de,man,Manual,theme,NA
1099,10.1080/1461670X.2018.1520610,en,man,Manual,const,NA
1100,10.1080/1461670X.2018.1520610,en,man,Manual,types,NA
1101,10.1080/1461670X.2019.1566871,en,man,Manual,const,NA
1102,10.1080/1461670X.2019.1566871,en,man,Manual,quali,NA
