_id,doi,language,method,method2,measurement,validation
774,10.1177/1464884917716699,nl,dct,Rule-based,const,discussion & demonstration
775,10.1177/1464884917716699,nl,dct,Rule-based,types,discussion & demonstration
776,10.1177/1464884917716699,nl,dct,Rule-based,theme,discussion & demonstration
777,10.1177/1464884917716699,nl,dct,Rule-based,senti,discussion & demonstration
778,10.1177/1464884917716699,nl,dct,Rule-based,relas,discussion & demonstration
779,10.1177/1464884917716699,nl,sof,Rule-based,thing,discussion & demonstration
780,10.1177/1464884917716699,nl,sof,Rule-based,const,discussion & demonstration
781,10.1177/1464884917716699,nl,sof,Rule-based,types,discussion & demonstration
782,10.1177/1464884917716699,nl,sof,Rule-based,theme,discussion & demonstration
783,10.1177/1464884917716699,nl,sof,Rule-based,senti,discussion & demonstration
784,10.1177/1464884917716699,nl,sof,Rule-based,relas,discussion & demonstration
785,10.1177/1464884917737212,en,key,Rule-based,theme,no validation attempt
786,10.1177/1940161216673195,en,man,Manual,senti,no validation attempt
787,10.1177/1940161216673195,en,man,Manual,attri,no validation attempt
788,10.1177/1940161216673195,en,key,Rule-based,senti,no validation attempt
789,10.1177/1940161216673195,en,key,Rule-based,attri,no validation attempt
790,10.1177/1940161216673196,en,lda,Unsupervised,forma,no validation attempt
791,10.1177/1940161216673196,en,lda,Unsupervised,quali,no validation attempt
792,10.1177/1940161216673196,en,lda,Unsupervised,frame,no validation attempt
793,10.1177/1940161217740696,nl,dct,Rule-based,thing,discussion
794,10.1177/1940161217740696,nl,dct,Rule-based,attri,discussion
795,10.1177/1940161218771893,en,sml,Supervised,frame,discussion & demonstration
796,10.1177/1940161218771897,en,nlp,Rule-based,quali,discussion
797,10.1177/1940161218809160,dk,man,Manual,thing,discussion
798,10.1177/1940161218809160,dk,man,Manual,theme,discussion
799,10.1177/1940161218809160,dk,man,Manual,frame,discussion
800,10.1177/1940161218809160,dk,dct,Rule-based,thing,discussion
801,10.1177/1940161218809160,dk,dct,Rule-based,theme,discussion
802,10.1177/1940161218809160,dk,dct,Rule-based,frame,discussion
803,10.1177/1940161218821509,en,key,Rule-based,thing,discussion & demonstration
804,10.1177/1940161218821509,en,sof,Rule-based,thing,discussion & demonstration
805,10.1177/1940161219832416,en,nlp,Rule-based,const,discussion & demonstration
806,10.1177/1940161219832416,en,nlp,Rule-based,attri,discussion & demonstration
807,10.1177/1940161219832416,en,key,Rule-based,const,discussion & demonstration
808,10.1177/1940161219832416,en,key,Rule-based,attri,discussion & demonstration
809,10.1177/1940161219895215,en,man,Manual,forma,discussion
810,10.1177/1940161219895215,en,man,Manual,attri,discussion
811,10.1177/1940161219895215,en,plg,Unsupervised,forma,discussion
812,10.1177/1940161219895215,en,plg,Unsupervised,attri,discussion
813,10.1177/1940161220935058,jp,lda,Unsupervised,theme,discussion & demonstration
814,10.1177/1940161220935058,jp,lda,Unsupervised,quali,discussion & demonstration
815,10.1177/1940161220935058,jp,lda,Unsupervised,attri,discussion & demonstration
816,10.1177/1940161220935058,jp,dcs,Unsupervised,theme,discussion & demonstration
817,10.1177/1940161220935058,jp,dcs,Unsupervised,quali,discussion & demonstration
818,10.1177/1940161220935058,jp,dcs,Unsupervised,attri,discussion & demonstration
819,10.1177/2050157920934509,en,lda,Unsupervised,theme,discussion & demonstration
820,10.1177/2056305117691545,en,man,Manual,theme,no validation attempt
821,10.1177/2056305117691545,en,lnk,Rule-based,theme,no validation attempt
822,10.1177/2056305117733224,en,lnk,Rule-based,frame,no validation attempt
823,10.1177/2056305118768299,en,key,Rule-based,forma,no validation attempt
824,10.1177/2056305118768299,en,key,Rule-based,props,no validation attempt
825,10.1177/2056305118776010,en,nlp,Rule-based,const,no validation attempt
826,10.1177/2056305118776010,en,nlp,Rule-based,pragm,no validation attempt
827,10.1177/2056305118776010,en,key,Rule-based,const,no validation attempt
828,10.1177/2056305118776010,en,key,Rule-based,pragm,no validation attempt
829,10.1177/2056305118784774,en,sml,Supervised,pragm,discussion & demonstration
830,10.1177/2056305118785638,en,sof,Rule-based,thing,no validation attempt
831,10.1177/2056305118785638,en,sof,Rule-based,const,no validation attempt
832,10.1177/2056305118785638,en,sof,Rule-based,senti,no validation attempt
833,10.1177/2056305118785638,en,lda,Unsupervised,thing,no validation attempt
834,10.1177/2056305118785638,en,lda,Unsupervised,const,no validation attempt
835,10.1177/2056305118785638,en,lda,Unsupervised,senti,no validation attempt
836,10.1177/2056305118786720,de,man,Manual,theme,discussion
837,10.1177/2056305118786720,de,man,Manual,other,discussion
